                              GENEMARK PREDICTIONS

Sequence: 14_2_c3
Sequence file: query.fas
Sequence length: 36016
GC Content:  29.04%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 30
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
    9543      9737  direct      fr 3   0.71  0.32  
    9564      9737  direct      fr 3   0.69  0.17  
    9624      9737  direct      fr 3   0.60  0.44  

    9805     10755  direct      fr 1   0.84  0.69  
    9841     10755  direct      fr 1   0.87  0.24  
   10192     10755  direct      fr 1   0.91  0.04  
   10255     10755  direct      fr 1   0.89  0.08  
   10375     10755  direct      fr 1   0.88  0.18  

   11559     12200  direct      fr 3   0.79  0.29  
   11889     12200  direct      fr 3   0.82  0.36  

   12739     12990  direct      fr 1   0.80  0.01  

   13388     14227  direct      fr 2   0.79  0.97  
   13460     14227  direct      fr 2   0.83  0.06  
   13475     14227  direct      fr 2   0.82  0.23  
   13496     14227  direct      fr 2   0.82  0.04  

   14464     15003  direct      fr 1   0.69  0.72  
   14488     15003  direct      fr 1   0.67  0.19  
   14593     15003  direct      fr 1   0.62  0.62  

   14969     15217  direct      fr 2   0.76  0.22  
   15017     15217  direct      fr 2   0.82  0.50  

   15286     15900  direct      fr 1   0.79  0.15  
   15382     15900  direct      fr 1   0.86  0.43  
   15577     15900  direct      fr 1   0.79  0.29  
   15628     15900  direct      fr 1   0.79  0.77  

   16030     16872  direct      fr 1   0.87  0.47  
   16117     16872  direct      fr 1   0.90  0.51  
   16252     16872  direct      fr 1   0.88  0.29  
   16546     16872  direct      fr 1   0.81  0.25  

   17026     17649  direct      fr 1   0.83  0.04  
   17038     17649  direct      fr 1   0.83  0.01  
   17149     17649  direct      fr 1   0.84  0.20  

   17654     18091  direct      fr 2   0.83  0.93  
   17843     18091  direct      fr 2   0.81  0.03  
   17939     18091  direct      fr 2   0.71  0.37  
   17975     18091  direct      fr 2   0.63  0.01  

   18105     19181  direct      fr 3   0.87  0.78  
   18621     19181  direct      fr 3   0.86  0.08  
   18705     19181  direct      fr 3   0.84  0.04  
   18912     19181  direct      fr 3   0.74  0.31  

   19188     19673  direct      fr 3   0.73  0.26  
   19266     19673  direct      fr 3   0.83  0.40  
   19338     19673  direct      fr 3   0.80  0.18  
   19365     19673  direct      fr 3   0.79  0.88  

   19787     20077  direct      fr 2   0.72  0.76  
   19988     20077  direct      fr 2   0.51  0.13  

   20128     20406  direct      fr 1   0.70  0.72  
   20209     20406  direct      fr 1   0.76  0.02  

   20420     21088  direct      fr 2   0.85  0.79  
   20597     21088  direct      fr 2   0.85  0.48  
   20666     21088  direct      fr 2   0.86  0.29  
   20936     21088  direct      fr 2   0.71  0.04  

   21138     22211  direct      fr 3   0.80  0.92  
   21165     22211  direct      fr 3   0.81  0.56  
   21219     22211  direct      fr 3   0.84  0.30  
   21228     22211  direct      fr 3   0.84  0.17  
   21471     22211  direct      fr 3   0.88  0.14  

   22192     22677  direct      fr 1   0.81  0.97  
   22201     22677  direct      fr 1   0.83  0.92  
   22255     22677  direct      fr 1   0.87  0.12  
   22261     22677  direct      fr 1   0.87  0.06  
   22519     22677  direct      fr 1   0.67  0.03  

   22677     23546  direct      fr 3   0.78  0.62  
   22842     23546  direct      fr 3   0.82  0.02  
   22893     23546  direct      fr 3   0.81  0.69  
   22932     23546  direct      fr 3   0.80  0.11  

   23543     24361  direct      fr 2   0.90  0.78  
   23924     24361  direct      fr 2   0.83  0.36  
   24041     24361  direct      fr 2   0.77  0.04  

   24368     26284  direct      fr 2   0.88  0.49  
   24452     26284  direct      fr 2   0.91  0.67  
   25055     26284  direct      fr 2   0.90  0.03  
   25127     26284  direct      fr 2   0.90  0.01  

   26289     27836  direct      fr 3   0.75  0.80  
   26301     27836  direct      fr 3   0.75  0.83  
   26556     27836  direct      fr 3   0.75  0.00  
   26988     27836  direct      fr 3   0.71  0.15  
   27126     27836  direct      fr 3   0.73  0.10  
   27177     27836  direct      fr 3   0.75  0.92  

   27866     28537  direct      fr 2   0.88  0.45  
   27932     28537  direct      fr 2   0.90  0.53  
   28325     28537  direct      fr 2   0.83  0.91  

   28509     28694  direct      fr 3   0.56  0.49  
   28611     28694  direct      fr 3   0.57  0.11  

   28721     29098  direct      fr 2   0.70  0.28  
   28904     29098  direct      fr 2   0.76  0.12  
   28973     29098  direct      fr 2   0.63  0.10  
   28991     29098  direct      fr 2   0.59  0.06  

   29102     29380  direct      fr 2   0.63  0.38  
   29120     29380  direct      fr 2   0.66  0.78  
   29159     29380  direct      fr 2   0.76  0.30  
   29249     29380  direct      fr 2   0.64  0.19  

   29361     30803  direct      fr 3   0.86  0.84  
   29679     30803  direct      fr 3   0.87  0.18  
   29838     30803  direct      fr 3   0.85  0.32  
   29853     30803  direct      fr 3   0.85  0.32  

   30817     31416  direct      fr 1   0.70  0.21  
   31027     31416  direct      fr 1   0.84  0.95  

   31413     31814  direct      fr 3   0.79  0.93  
   31509     31814  direct      fr 3   0.88  0.02  
   31539     31814  direct      fr 3   0.87  0.02  
   31701     31814  direct      fr 3   0.70  0.00  

   31777     32007  direct      fr 1   0.56  0.86  
   31798     32007  direct      fr 1   0.59  0.96  

   32118     32972  direct      fr 3   0.94  0.27  
   32277     32972  direct      fr 3   0.92  0.36  
   32370     32972  direct      fr 3   0.91  0.57  

   32999     33190  direct      fr 2   0.53  0.85  
   33002     33190  direct      fr 2   0.56  0.72  

   33190     33618  direct      fr 1   0.76  0.60  
   33259     33618  direct      fr 1   0.82  0.03  
   33364     33618  direct      fr 1   0.80  0.09  
   33526     33618  direct      fr 1   0.55  0.12  

   33662     33817  direct      fr 2   0.60  0.65  
   33668     33817  direct      fr 2   0.60  0.79  

   33862     35589  direct      fr 1   0.86  0.43  
   34108     35589  direct      fr 1   0.85  0.19  
   34174     35589  direct      fr 1   0.86  0.27  
   34204     35589  direct      fr 1   0.85  0.02  
   34210     35589  direct      fr 1   0.85  0.07  

   35671     36018  direct      fr 1   0.84  0.97  
   35872     36018  direct      fr 1   0.92  0.48  
   35896     36018  direct      fr 1   0.96  0.92  
   35935     36018  direct      fr 1   0.97  ....  

List of Regions of interest
(regions from stop to stop codon w/ a signal in between)

   LEnd      REnd    Strand      Frame
 --------  --------  ----------- -----
       25       192  complement  fr 3
      163       435  direct      fr 1
      422      1447  direct      fr 2
     2150      2344  direct      fr 2
     2342      3073  direct      fr 2
     3705      4079  direct      fr 3
     4753      5070  direct      fr 1
     4931      5794  direct      fr 2
     5810      6097  direct      fr 2
     6072      6323  direct      fr 3
     6256      7077  direct      fr 1
     7065      7337  direct      fr 3
     7316      7657  direct      fr 2
     7648      7839  direct      fr 1
     7793      8056  direct      fr 2
     8312      8740  direct      fr 2
     8748      9017  direct      fr 3
     9023      9346  direct      fr 2
     9324      9737  direct      fr 3
     9802     10755  direct      fr 1
    10793     10978  direct      fr 2
    11162     11533  direct      fr 2
    11523     12200  direct      fr 3
    12247     12405  direct      fr 1
    12371     12616  direct      fr 2
    12607     12990  direct      fr 1
    12988     13167  direct      fr 1
    13145     13342  direct      fr 2
    13376     14227  direct      fr 2
    14311     15003  direct      fr 1
    14855     15217  direct      fr 2
    15271     15900  direct      fr 1
    15928     16872  direct      fr 1
    16870     17649  direct      fr 1
    17621     18091  direct      fr 2
    18075     19181  direct      fr 3
    19179     19673  direct      fr 3
    19751     20077  direct      fr 2
    20101     20406  direct      fr 1
    20387     21088  direct      fr 2
    21135     22211  direct      fr 3
    22165     22677  direct      fr 1
    22662     23546  direct      fr 3
    23483     24361  direct      fr 2
    24359     26284  direct      fr 2
    26271     27836  direct      fr 3
    27821     28537  direct      fr 2
    28497     28694  direct      fr 3
    28718     29098  direct      fr 2
    29096     29380  direct      fr 2
    29346     30803  direct      fr 3
    30814     31416  direct      fr 1
    31404     31814  direct      fr 3
    31768     32007  direct      fr 1
    31992     32972  direct      fr 3
    32981     33190  direct      fr 2
    33166     33618  direct      fr 1
    33599     33817  direct      fr 2
    33811     35589  direct      fr 1
    35641     36018  direct      fr 1


--------------------
ABOUT THE MATRIX USED:



For details on the model building procedure see:
   Besemer J. and Borodovsky M.
   "Heuristic approach to deriving models for gene finding"
   NAR, 1999, Vol. 27, No. 19, pp. 3911-3920

