                              GENEMARK PREDICTIONS

Sequence: phi4:1 length=146105
Sequence file: /Users/mbsulli/neofelis/genomes/Phi-4-1.fas
Sequence length: 146105
GC Content:  32.62%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 32
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
   11552     12133  complement  fr 1   0.80  0.13  
   11552     12082  complement  fr 1   0.81  0.29  

   12195     13418  complement  fr 2   0.80  0.22  
   12195     13400  complement  fr 2   0.82  0.18  
   12195     13352  complement  fr 2   0.83  0.57  
   12195     13298  complement  fr 2   0.84  0.02  
   12195     13166  complement  fr 2   0.84  0.05  

   13324     14121  complement  fr 3   0.69  0.02  
   13324     14094  complement  fr 3   0.71  0.00  
   13324     14079  complement  fr 3   0.72  0.01  
   13324     14070  complement  fr 3   0.74  0.00  
   13324     14067  complement  fr 3   0.74  0.00  
   13324     14028  complement  fr 3   0.79  0.02  
   13324     14025  complement  fr 3   0.79  0.03  
   13324     13875  complement  fr 3   0.83  0.25  
   13324     13785  complement  fr 3   0.80  0.14  
   13324     13575  complement  fr 3   0.68  0.13  

   13895     14353  complement  fr 1   0.70  0.80  
   13895     14098  complement  fr 1   0.50  0.11  

   14356     15360  complement  fr 3   0.92  0.93  
   14356     15351  complement  fr 3   0.92  0.79  
   14356     15336  complement  fr 3   0.92  0.76  

   15389     16975  complement  fr 1   0.83  0.62  
   15389     16795  complement  fr 1   0.84  0.05  
   15389     16651  complement  fr 1   0.82  0.15  
   15389     16555  complement  fr 1   0.82  0.25  
   15389     16462  complement  fr 1   0.83  0.22  

   16989     17912  complement  fr 2   0.73  0.09  
   16989     17897  complement  fr 2   0.73  0.78  
   16989     17885  complement  fr 2   0.74  0.67  
   16989     17882  complement  fr 2   0.74  0.56  
   16989     17879  complement  fr 2   0.75  0.31  
   16989     17684  complement  fr 2   0.80  0.04  
   16989     17447  complement  fr 2   0.80  0.24  
   16989     17222  complement  fr 2   0.73  0.08  

   18137     18826  complement  fr 1   0.63  0.86  
   18137     18772  complement  fr 1   0.66  0.19  
   18137     18769  complement  fr 1   0.66  0.21  

   18847     19698  complement  fr 3   0.67  0.20  
   18847     19623  complement  fr 3   0.72  0.27  
   18847     19572  complement  fr 3   0.71  0.20  
   18847     19254  complement  fr 3   0.75  0.39  

   19601     19792  direct      fr 2   0.52  0.59  
   19691     19792  direct      fr 2   0.51  0.20  

   19997     21715  complement  fr 1   0.72  0.82  
   19997     21277  complement  fr 1   0.71  0.57  
   19997     21250  complement  fr 1   0.70  0.81  
   19997     21148  complement  fr 1   0.70  0.04  

   21947     22588  complement  fr 1   0.70  0.46  
   21947     22582  complement  fr 1   0.71  0.41  
   21947     22567  complement  fr 1   0.73  0.22  
   21947     22456  complement  fr 1   0.72  0.04  
   21947     22408  complement  fr 1   0.70  0.66  
   21947     22078  complement  fr 1   0.62  0.26  

   22672     24393  complement  fr 3   0.90  0.47  
   22672     23571  complement  fr 3   0.88  0.35  
   22672     23538  complement  fr 3   0.87  0.01  

   24625     25167  complement  fr 3   0.66  0.44  
   24625     24939  complement  fr 3   0.62  0.19  
   24625     24894  complement  fr 3   0.60  0.23  

   25186     25581  complement  fr 3   0.62  0.04  

   25581     25883  complement  fr 2   0.59  0.07  
   25581     25775  complement  fr 2   0.63  0.11  

   25883     26398  complement  fr 1   0.82  0.77  
   25883     26257  complement  fr 1   0.85  0.00  
   25883     26119  complement  fr 1   0.77  0.34  
   25883     25990  complement  fr 1   0.55  0.50  

   26611     26880  complement  fr 3   0.63  0.29  

   26904     27017  complement  fr 2   0.52  0.48  

   27259     27741  complement  fr 3   0.68  0.95  
   27259     27660  complement  fr 3   0.70  0.26  

   27741     28241  complement  fr 2   0.76  0.80  
   27741     28190  complement  fr 2   0.81  0.10  
   27741     28184  complement  fr 2   0.81  0.11  
   27741     28088  complement  fr 2   0.76  0.43  

   28241     28573  complement  fr 1   0.72  0.35  
   28241     28525  complement  fr 1   0.79  0.55  

   28605     29987  complement  fr 2   0.84  0.04  
   28605     29906  complement  fr 2   0.83  0.34  
   28605     29678  complement  fr 2   0.80  0.18  

   30589     30942  complement  fr 3   0.55  0.60  
   30589     30930  complement  fr 3   0.53  0.59  

   31250     32230  complement  fr 1   0.82  0.85  
   31250     32116  complement  fr 1   0.82  0.04  
   31250     31999  complement  fr 1   0.79  0.01  
   31250     31981  complement  fr 1   0.79  0.00  

   32384     33460  complement  fr 1   0.87  0.00  
   32384     33415  complement  fr 1   0.86  0.38  
   32384     33352  complement  fr 1   0.86  0.13  

   33543     33875  complement  fr 2   0.76  1.00  
   33543     33788  complement  fr 2   0.74  0.70  

   33854     34093  complement  fr 1   0.56  0.35  
   33854     34036  complement  fr 1   0.57  0.22  

   34252     35259  complement  fr 3   0.92  0.47  
   34252     35235  complement  fr 3   0.91  0.06  
   34252     35151  complement  fr 3   0.91  0.01  

   35383     37512  complement  fr 3   0.90  0.17  
   35383     37437  complement  fr 3   0.90  0.02  
   35383     37428  complement  fr 3   0.90  0.01  

   37520     38074  complement  fr 1   0.78  0.00  
   37520     38065  complement  fr 1   0.78  0.00  
   37520     37927  complement  fr 1   0.84  0.35  
   37520     37909  complement  fr 1   0.84  0.11  
   37520     37894  complement  fr 1   0.83  0.32  

   38466     38957  complement  fr 2   0.78  0.13  
   38466     38909  complement  fr 2   0.77  0.46  
   38466     38699  complement  fr 2   0.72  0.61  

   38998     39144  complement  fr 3   0.59  0.36  

   39155     39652  complement  fr 1   0.90  0.24  
   39155     39568  complement  fr 1   0.88  0.05  
   39155     39403  complement  fr 1   0.81  0.11  

   39679     40326  complement  fr 3   0.85  0.55  
   39679     40305  complement  fr 3   0.87  0.23  
   39679     40272  complement  fr 3   0.86  0.18  
   39679     40050  complement  fr 3   0.83  0.56  

   40349     40582  complement  fr 1   0.53  0.26  
   40349     40558  complement  fr 1   0.58  0.09  

   40563     40796  complement  fr 2   0.59  0.74  

   40799     40945  complement  fr 1   0.53  0.74  

   40908     41333  complement  fr 2   0.83  0.00  
   40908     41294  complement  fr 2   0.85  0.94  
   40908     41276  complement  fr 2   0.85  0.53  
   40908     41081  complement  fr 2   0.72  0.68  

   41269     41463  complement  fr 3   0.53  0.71  
   41269     41424  complement  fr 3   0.62  0.32  
   41269     41406  complement  fr 3   0.59  0.06  
   41269     41388  complement  fr 3   0.50  0.01  

   41466     42431  complement  fr 2   0.82  0.25  
   41466     42122  complement  fr 2   0.86  0.06  
   41466     41810  complement  fr 2   0.81  0.58  
   41466     41618  complement  fr 2   0.59  0.06  

   42651     42893  complement  fr 2   0.52  0.94  

   42897     43313  complement  fr 2   0.74  0.47  
   42897     43256  complement  fr 2   0.77  0.28  

   44359     44478  direct      fr 1   0.54  0.96  
   44374     44478  direct      fr 1   0.57  0.62  

   45295     45486  direct      fr 1   0.51  0.03  

   49595     50542  direct      fr 2   0.79  0.20  
   49616     50542  direct      fr 2   0.79  0.01  
   49619     50542  direct      fr 2   0.79  0.01  
   49664     50542  direct      fr 2   0.79  0.76  
   49880     50542  direct      fr 2   0.76  0.06  

   50675     51007  direct      fr 2   0.55  0.94  
   50864     51007  direct      fr 2   0.54  0.88  

   51210     51431  direct      fr 3   0.51  0.40  

   51631     51921  direct      fr 1   0.55  0.55  
   51673     51921  direct      fr 1   0.51  0.27  

   51921     52409  direct      fr 3   0.52  0.29  
   52008     52409  direct      fr 3   0.56  0.64  
   52047     52409  direct      fr 3   0.55  0.28  

   52849     53241  direct      fr 1   0.78  0.48  
   52945     53241  direct      fr 1   0.81  0.10  
   52978     53241  direct      fr 1   0.80  0.35  
   53038     53241  direct      fr 1   0.75  0.21  

   53395     54258  direct      fr 1   0.90  0.03  
   53482     54258  direct      fr 1   0.91  0.41  
   53662     54258  direct      fr 1   0.88  0.16  

   54433     54699  direct      fr 1   0.60  0.60  

   54530     54925  direct      fr 2   0.54  0.16  
   54653     54925  direct      fr 2   0.74  0.69  

   54874     55911  direct      fr 1   0.88  0.23  
   55201     55911  direct      fr 1   0.90  0.33  
   55261     55911  direct      fr 1   0.89  0.09  
   55306     55911  direct      fr 1   0.88  0.23  
   55315     55911  direct      fr 1   0.89  0.11  

   56389     57159  direct      fr 1   0.83  0.09  
   56449     57159  direct      fr 1   0.89  0.61  
   56740     57159  direct      fr 1   0.85  0.10  
   56992     57159  direct      fr 1   0.72  0.52  

   57330     57581  direct      fr 3   0.71  0.48  

   57676     57786  direct      fr 1   0.60  0.51  

   58147     58308  direct      fr 1   0.57  0.63  
   58207     58308  direct      fr 1   0.56  0.07  

   58435     58626  direct      fr 1   0.59  0.55  

   58629     58844  direct      fr 3   0.56  0.84  
   58674     58844  direct      fr 3   0.71  0.16  

   58912     59232  direct      fr 1   0.72  0.22  
   58954     59232  direct      fr 1   0.81  0.54  
   58960     59232  direct      fr 1   0.81  0.75  
   58996     59232  direct      fr 1   0.78  0.04  

   59229     59486  direct      fr 3   0.68  0.98  
   59301     59486  direct      fr 3   0.81  0.23  
   59319     59486  direct      fr 3   0.78  0.58  

   59477     59713  direct      fr 2   0.56  0.71  
   59483     59713  direct      fr 2   0.56  0.27  
   59540     59713  direct      fr 2   0.74  0.86  
   59552     59713  direct      fr 2   0.76  0.88  

   59710     60180  direct      fr 1   0.53  0.71  
   59779     60180  direct      fr 1   0.61  0.19  
   59821     60180  direct      fr 1   0.60  0.37  

   60162     60344  direct      fr 3   0.56  0.66  
   60192     60344  direct      fr 3   0.64  0.24  

   61075     61332  direct      fr 1   0.55  0.88  
   61123     61332  direct      fr 1   0.68  0.12  
   61183     61332  direct      fr 1   0.62  0.06  
   61186     61332  direct      fr 1   0.62  0.10  

   61320     61706  direct      fr 3   0.72  0.95  
   61560     61706  direct      fr 3   0.75  0.50  

   61970     62362  direct      fr 2   0.64  0.01  
   62003     62362  direct      fr 2   0.68  0.23  
   62051     62362  direct      fr 2   0.76  0.32  
   62168     62362  direct      fr 2   0.68  0.12  
   62183     62362  direct      fr 2   0.66  0.20  

   62376     62666  direct      fr 3   0.70  0.89  
   62415     62666  direct      fr 3   0.79  0.22  
   62499     62666  direct      fr 3   0.69  0.01  

   62935     63126  direct      fr 1   0.54  0.98  

   63662     63784  direct      fr 2   0.53  0.01  

   64295     64813  direct      fr 2   0.82  0.05  
   64487     64813  direct      fr 2   0.75  0.01  
   64562     64813  direct      fr 2   0.80  0.51  
   64613     64813  direct      fr 2   0.81  0.43  

   64800     65066  direct      fr 3   0.68  0.86  
   64965     65066  direct      fr 3   0.66  0.61  

   65703     66149  direct      fr 3   0.79  0.72  
   65820     66149  direct      fr 3   0.81  0.14  
   65916     66149  direct      fr 3   0.76  0.22  
   65952     66149  direct      fr 3   0.72  0.63  

   66267     66578  direct      fr 3   0.67  0.55  

   66571     66918  direct      fr 1   0.66  0.15  
   66709     66918  direct      fr 1   0.77  0.50  
   66784     66918  direct      fr 1   0.66  0.22  

   66942     67193  direct      fr 3   0.55  0.79  

   67670     67882  direct      fr 2   0.69  0.29  
   67685     67882  direct      fr 2   0.69  0.37  
   67706     67882  direct      fr 2   0.67  0.47  

   67887     68060  direct      fr 3   0.64  0.81  

   68248     68445  direct      fr 1   0.66  0.03  
   68251     68445  direct      fr 1   0.66  0.04  
   68272     68445  direct      fr 1   0.71  0.58  
   68275     68445  direct      fr 1   0.71  0.54  

   68438     68698  direct      fr 2   0.67  0.69  

   68710     69237  direct      fr 1   0.77  0.92  
   68839     69237  direct      fr 1   0.82  0.83  
   69055     69237  direct      fr 1   0.68  0.86  

   69314     69490  direct      fr 2   0.61  0.78  

   69474     69656  direct      fr 3   0.62  0.40  

   69695     69877  direct      fr 2   0.69  0.69  

   70807     71259  direct      fr 1   0.83  0.03  
   70891     71259  direct      fr 1   0.79  0.01  
   70912     71259  direct      fr 1   0.78  0.00  

   71672     72028  direct      fr 2   0.79  0.38  
   71681     72028  direct      fr 2   0.78  0.79  
   71813     72028  direct      fr 2   0.72  0.59  

   72039     72149  direct      fr 3   0.59  0.32  

   72308     72511  direct      fr 2   0.53  0.83  

   72600     72986  direct      fr 3   0.83  0.65  
   72681     72986  direct      fr 3   0.78  0.01  
   72720     72986  direct      fr 3   0.75  0.26  

   73416     73679  direct      fr 3   0.50  0.14  

   74021     74113  direct      fr 2   0.62  0.49  

   74149     74316  direct      fr 1   0.51  0.90  

   74344     74928  direct      fr 1   0.84  0.34  
   74542     74928  direct      fr 1   0.82  0.11  
   74701     74928  direct      fr 1   0.79  0.10  

   74940     75659  direct      fr 3   0.80  0.96  
   74967     75659  direct      fr 3   0.84  0.72  
   75213     75659  direct      fr 3   0.83  0.00  
   75438     75659  direct      fr 3   0.77  0.10  

   75744     76568  direct      fr 3   0.85  0.94  
   75873     76568  direct      fr 3   0.91  0.01  
   76182     76568  direct      fr 3   0.86  0.13  
   76305     76568  direct      fr 3   0.81  0.11  

   76571     77155  direct      fr 2   0.66  0.61  
   76841     77155  direct      fr 2   0.56  0.17  

   77727     78383  direct      fr 3   0.87  0.44  
   77769     78383  direct      fr 3   0.90  0.37  
   78021     78383  direct      fr 3   0.86  0.02  
   78156     78383  direct      fr 3   0.79  0.03  

   78380     78574  direct      fr 2   0.53  0.58  

   78575     78823  direct      fr 2   0.57  0.79  
   78638     78823  direct      fr 2   0.73  0.29  

   78911     79207  direct      fr 2   0.63  0.94  
   78980     79207  direct      fr 2   0.72  0.02  
   79016     79207  direct      fr 2   0.67  0.25  

   79413     79616  direct      fr 3   0.66  0.29  
   79488     79616  direct      fr 3   0.66  0.07  
   79494     79616  direct      fr 3   0.63  0.19  

   79729     79866  direct      fr 1   0.55  0.98  

   79772     80059  direct      fr 2   0.60  0.57  

   80199     80531  direct      fr 3   0.74  0.91  

   80467     80871  direct      fr 1   0.61  0.06  
   80533     80871  direct      fr 1   0.70  0.13  
   80611     80871  direct      fr 1   0.62  0.18  
   80686     80871  direct      fr 1   0.50  0.21  

   81138     81422  direct      fr 3   0.86  0.41  
   81147     81422  direct      fr 3   0.86  0.31  
   81150     81422  direct      fr 3   0.86  0.35  

   81541     81780  direct      fr 1   0.51  0.72  
   81634     81780  direct      fr 1   0.56  0.15  

   82341     83321  direct      fr 3   0.82  0.15  
   82593     83321  direct      fr 3   0.85  0.48  
   82641     83321  direct      fr 3   0.85  0.01  
   82671     83321  direct      fr 3   0.85  0.10  

   83502     84020  direct      fr 3   0.79  0.92  
   83646     84020  direct      fr 3   0.86  0.11  
   83661     84020  direct      fr 3   0.85  0.03  

   84583     85362  direct      fr 1   0.75  0.37  
   84625     85362  direct      fr 1   0.80  0.24  
   84661     85362  direct      fr 1   0.82  0.53  
   84667     85362  direct      fr 1   0.82  0.51  
   84763     85362  direct      fr 1   0.80  0.12  

   85483     86466  direct      fr 1   0.78  0.77  
   85513     86466  direct      fr 1   0.81  0.29  
   85645     86466  direct      fr 1   0.82  0.46  
   85741     86466  direct      fr 1   0.81  0.22  
   85876     86466  direct      fr 1   0.83  0.20  
   86257     86466  direct      fr 1   0.76  0.03  

   86850     87152  direct      fr 3   0.57  0.01  
   86898     87152  direct      fr 3   0.67  0.60  
   86985     87152  direct      fr 3   0.66  0.02  
   86991     87152  direct      fr 3   0.63  0.04  
   86994     87152  direct      fr 3   0.63  0.01  

   87175     87537  direct      fr 1   0.69  0.72  
   87316     87537  direct      fr 1   0.76  0.71  

   87819     88313  direct      fr 3   0.86  0.07  
   87864     88313  direct      fr 3   0.85  0.24  
   87933     88313  direct      fr 3   0.83  0.49  

   88457     88798  direct      fr 2   0.75  0.74  
   88643     88798  direct      fr 2   0.68  0.07  

   88782     89036  direct      fr 3   0.61  0.04  
   88866     89036  direct      fr 3   0.74  0.25  

   89113     89307  direct      fr 1   0.62  0.04  

   89663     90400  direct      fr 2   0.81  0.10  
   89732     90400  direct      fr 2   0.87  0.70  
   89810     90400  direct      fr 2   0.86  0.10  
   89855     90400  direct      fr 2   0.85  0.37  

   90652     91914  direct      fr 1   0.83  0.13  
   90916     91914  direct      fr 1   0.89  0.20  
   90964     91914  direct      fr 1   0.92  0.74  
   91243     91914  direct      fr 1   0.90  0.32  
   91363     91914  direct      fr 1   0.89  0.09  

   91877     92068  direct      fr 2   0.62  0.45  
   91949     92068  direct      fr 2   0.63  0.62  
   91970     92068  direct      fr 2   0.55  0.23  

   92157     92336  direct      fr 3   0.55  0.00  

   92542     92985  direct      fr 1   0.75  0.08  
   92650     92985  direct      fr 1   0.69  0.61  
   92698     92985  direct      fr 1   0.65  0.07  

   93065     93415  direct      fr 2   0.73  0.94  
   93080     93415  direct      fr 2   0.76  0.95  
   93104     93415  direct      fr 2   0.81  0.71  

   93424     95130  direct      fr 1   0.85  0.88  
   93634     95130  direct      fr 1   0.89  0.95  
   93652     95130  direct      fr 1   0.90  0.56  
   93676     95130  direct      fr 1   0.90  0.07  
   93715     95130  direct      fr 1   0.89  0.01  

   95147     95566  direct      fr 2   0.58  0.28  
   95237     95566  direct      fr 2   0.55  0.17  
   95279     95566  direct      fr 2   0.56  0.07  
   95315     95566  direct      fr 2   0.60  0.18  
   95339     95566  direct      fr 2   0.65  0.42  
   95408     95566  direct      fr 2   0.71  0.44  
   95450     95566  direct      fr 2   0.60  0.16  

   95679     95969  direct      fr 3   0.67  0.04  
   95874     95969  direct      fr 3   0.54  0.64  

   95969     96406  direct      fr 2   0.68  0.34  
   95987     96406  direct      fr 2   0.70  0.32  
   96011     96406  direct      fr 2   0.74  0.67  
   96188     96406  direct      fr 2   0.61  0.29  

   96442     96795  direct      fr 1   0.50  0.94  

   96860     97237  direct      fr 2   0.72  0.44  
   97013     97237  direct      fr 2   0.75  0.69  
   97142     97237  direct      fr 2   0.52  0.16  

   97212     97448  direct      fr 3   0.65  0.58  
   97221     97448  direct      fr 3   0.69  0.41  

   97624     97866  direct      fr 1   0.64  0.77  
   97744     97866  direct      fr 1   0.63  0.20  

   97959     98147  direct      fr 3   0.61  0.39  
   97977     98147  direct      fr 3   0.65  0.90  

   98197     98532  direct      fr 1   0.79  0.83  
   98236     98532  direct      fr 1   0.81  0.16  
   98275     98532  direct      fr 1   0.79  0.19  
   98326     98532  direct      fr 1   0.74  0.42  

   98693     98896  direct      fr 2   0.76  0.02  
   98771     98896  direct      fr 2   0.64  0.68  

   99119     99358  direct      fr 2   0.55  0.46  
   99182     99358  direct      fr 2   0.57  0.50  

   99336     99506  direct      fr 3   0.63  0.85  

   99493     99648  direct      fr 1   0.51  0.69  

  100218    100406  direct      fr 3   0.52  0.19  
  100266    100406  direct      fr 3   0.69  0.77  

  100781    100993  direct      fr 2   0.67  0.67  
  100859    100993  direct      fr 2   0.75  0.14  

  100995    101240  direct      fr 3   0.63  0.39  
  101055    101240  direct      fr 3   0.73  0.04  

  101188    101592  direct      fr 1   0.57  0.41  
  101278    101592  direct      fr 1   0.54  0.08  
  101299    101592  direct      fr 1   0.52  0.33  

  101596    101925  direct      fr 1   0.71  0.90  
  101788    101925  direct      fr 1   0.66  0.18  

  102354    102662  direct      fr 3   0.78  0.46  
  102372    102662  direct      fr 3   0.78  0.30  

  102867    102959  direct      fr 3   0.52  0.03  

  103067    103645  direct      fr 2   0.86  0.98  
  103109    103645  direct      fr 2   0.91  0.00  
  103166    103645  direct      fr 2   0.91  0.98  
  103190    103645  direct      fr 2   0.90  0.88  

  103651    103851  direct      fr 1   0.54  0.55  
  103693    103851  direct      fr 1   0.70  0.84  
  103711    103851  direct      fr 1   0.68  0.17  

  103928    104407  direct      fr 2   0.72  0.03  
  104204    104407  direct      fr 2   0.72  0.23  

  104449    104997  direct      fr 1   0.84  0.91  
  104512    104997  direct      fr 1   0.87  0.26  
  104581    104997  direct      fr 1   0.85  0.08  
  104830    104997  direct      fr 1   0.73  0.24  

  104951    105508  direct      fr 2   0.71  0.83  
  105065    105508  direct      fr 2   0.83  0.27  
  105260    105508  direct      fr 2   0.81  0.47  
  105368    105508  direct      fr 2   0.68  0.03  

  105511    105750  direct      fr 1   0.60  0.74  
  105622    105750  direct      fr 1   0.64  0.04  

  105740    106177  direct      fr 2   0.70  0.88  
  105812    106177  direct      fr 2   0.81  0.07  
  105866    106177  direct      fr 2   0.77  0.03  
  105884    106177  direct      fr 2   0.76  0.01  

  106296    106700  direct      fr 3   0.55  0.08  

  106786    107010  direct      fr 1   0.78  0.07  
  106828    107010  direct      fr 1   0.73  0.29  

  106910    107134  direct      fr 2   0.52  0.60  
  106940    107134  direct      fr 2   0.58  0.52  
  106970    107134  direct      fr 2   0.69  0.39  
  106982    107134  direct      fr 2   0.67  0.48  

  107489    108250  direct      fr 2   0.87  0.23  
  107681    108250  direct      fr 2   0.83  0.25  
  107942    108250  direct      fr 2   0.80  0.03  

  108267    109811  direct      fr 3   0.91  0.68  
  108384    109811  direct      fr 3   0.91  0.19  
  108393    109811  direct      fr 3   0.91  0.03  

  109835    110224  direct      fr 2   0.66  0.45  
  110021    110224  direct      fr 2   0.70  0.12  

  110261    110605  direct      fr 2   0.74  0.26  
  110345    110605  direct      fr 2   0.84  0.65  
  110366    110605  direct      fr 2   0.83  0.08  
  110402    110605  direct      fr 2   0.80  0.10  

  110595    110876  direct      fr 3   0.69  0.76  
  110724    110876  direct      fr 3   0.69  0.09  

  110893    111591  direct      fr 1   0.72  0.74  
  111091    111591  direct      fr 1   0.67  0.40  
  111154    111591  direct      fr 1   0.63  0.08  
  111280    111591  direct      fr 1   0.51  0.11  

  111718    111978  direct      fr 1   0.64  0.77  
  111727    111978  direct      fr 1   0.67  0.71  
  111733    111978  direct      fr 1   0.70  0.21  
  111742    111978  direct      fr 1   0.70  0.34  
  111760    111978  direct      fr 1   0.67  0.13  

  112035    112493  direct      fr 3   0.69  0.86  
  112062    112493  direct      fr 3   0.73  0.21  
  112071    112493  direct      fr 3   0.75  0.08  

  112477    112695  direct      fr 1   0.76  0.36  
  112507    112695  direct      fr 1   0.74  0.23  
  112525    112695  direct      fr 1   0.72  0.28  

  112697    113458  direct      fr 2   0.84  0.12  
  112937    113458  direct      fr 2   0.86  0.09  
  113000    113458  direct      fr 2   0.85  0.14  
  113006    113458  direct      fr 2   0.84  0.23  

  113451    113717  direct      fr 3   0.59  0.79  
  113550    113717  direct      fr 3   0.65  0.12  

  113663    115033  direct      fr 2   0.81  0.09  
  114158    115033  direct      fr 2   0.94  0.21  
  114344    115033  direct      fr 2   0.92  0.02  
  114377    115033  direct      fr 2   0.92  0.13  

  115680    115943  direct      fr 3   0.57  0.18  
  115719    115943  direct      fr 3   0.69  0.18  

  116010    116363  complement  fr 2   0.52  0.64  

  116369    116554  complement  fr 1   0.66  0.82  

  116770    117198  complement  fr 3   0.69  0.95  
  116770    117009  complement  fr 3   0.62  0.44  
  116770    116997  complement  fr 3   0.61  0.03  
  116770    116898  complement  fr 3   0.55  0.64  

  117185    117523  complement  fr 1   0.57  0.75  
  117185    117496  complement  fr 1   0.61  0.23  
  117185    117403  complement  fr 1   0.55  0.20  

  117507    118619  complement  fr 2   0.84  0.22  
  117507    118598  complement  fr 2   0.84  0.00  
  117507    118313  complement  fr 2   0.81  0.00  

  118800    119402  complement  fr 2   0.75  0.59  
  118800    119207  complement  fr 2   0.79  0.13  
  118800    119150  complement  fr 2   0.76  0.06  
  118800    119015  complement  fr 2   0.63  0.88  

  119377    120213  complement  fr 3   0.87  0.91  
  119377    120156  complement  fr 3   0.87  0.01  
  119377    120027  complement  fr 3   0.86  0.07  
  119377    119994  complement  fr 3   0.85  0.18  

  120215    120538  complement  fr 1   0.80  0.04  
  120215    120469  complement  fr 1   0.76  0.32  
  120215    120433  complement  fr 1   0.72  0.22  

  120697    121449  complement  fr 3   0.77  0.16  
  120697    121404  complement  fr 3   0.76  0.40  
  120697    121395  complement  fr 3   0.76  0.15  

  122066    122590  complement  fr 1   0.77  0.89  
  122066    122587  complement  fr 1   0.77  0.87  
  122066    122344  complement  fr 1   0.73  0.01  
  122066    122236  complement  fr 1   0.59  0.32  

  122677    122835  complement  fr 3   0.52  0.04  

  123089    123265  complement  fr 1   0.66  0.71  
  123089    123223  complement  fr 1   0.56  0.20  

  123393    124232  complement  fr 2   0.81  0.23  
  123393    124175  complement  fr 2   0.80  0.02  
  123393    123569  complement  fr 2   0.62  0.05  

  124249    125319  complement  fr 3   0.81  0.01  
  124249    125172  complement  fr 3   0.84  0.58  
  124249    125088  complement  fr 3   0.83  0.07  
  124249    125064  complement  fr 3   0.83  0.51  

  125240    125677  complement  fr 1   0.74  0.05  
  125240    125569  complement  fr 1   0.81  0.20  
  125240    125461  complement  fr 1   0.74  0.08  

  125682    128537  complement  fr 2   0.91  0.05  
  125682    128189  complement  fr 2   0.92  0.20  
  125682    128063  complement  fr 2   0.92  0.11  

  128710    129141  complement  fr 3   0.75  0.35  
  128710    129096  complement  fr 3   0.81  0.38  

  129153    129491  complement  fr 2   0.72  0.36  

